Cas_Sekundy,Cas_Hodiny,PriemernyCasVSysteme,PriemerneCakanieOsetrenie,RadSanitka,RadSamostatne
248.7426908118752,0.06909519189218756,0.0,0.0,0,0
2048.361445327212,0.5689892903686701,1962.1233782596717,587.429241345601,0,0
3608.8158421125145,1.002448845031254,2091.567042273597,747.8459798033349,0,0
5519.6294978267315,1.533230416062981,2205.7991632823764,739.138278181409,0,0
7203.495185045987,2.000970884734996,2277.6330293963215,857.1526900662977,0,0
9179.835551867014,2.5499543199630597,2414.6329528309816,930.2198075209285,0,0
11088.11711410763,3.0800325316965638,2504.8058723542913,876.8287114557565,0,0
12885.276987060419,3.579243607516783,2437.295137059243,832.6335725167561,0,0
14548.138536791066,4.041149593553074,2371.9418512456973,798.7128987336773,0,0
16296.177862133472,4.526716072814853,2312.4531149668965,781.4573579934536,0,0
18062.48010191216,5.0173555838644885,2302.0906241372336,772.3242947907437,0,0
19866.46847625983,5.518463465627731,2243.923506271596,739.9908112932951,1,0
21734.521740959455,6.037367150266515,2243.5450404908943,727.7647044402454,2,2
23511.43069493791,6.530952970816086,2218.5129412884394,742.6827872028493,0,0
25265.222004688065,7.018117223524462,2217.944409210689,722.60183026509,0,0
27068.04870885427,7.518902419126186,2184.615842036091,712.1354940740476,0,0
28897.997597343812,8.027221554817725,2150.9403302610503,696.8551013188171,0,0
30636.772792797536,8.510214664665982,2122.5844130032697,688.5227588279606,0,0
32605.62886597473,9.057119129437424,2103.4636683196504,678.8001897884953,0,0
34486.134889973066,9.579481913881407,2089.93686895896,670.9177352197602,0,0
36191.61702776877,10.053226952157992,2073.1317664472203,661.8268537959045,0,0
37961.99500875782,10.544998613543838,2067.4809537448064,658.8747994287994,0,1
39795.48191968804,11.054300533246678,2069.373781628218,656.5923394116253,0,0
41438.529539289346,11.510702649802596,2073.4542103021786,651.0972210799445,0,0
43428.1657045189,12.06337936236636,2059.593548443138,648.8241110564111,0,0
45211.54074819088,12.55876131894191,2052.940754225394,645.5206044940867,0,0
46830.83011251848,13.008563920144022,2039.6744407152048,640.7466294898555,0,0
48762.630539805075,13.545175149945853,2035.9355702538671,637.2000073321858,0,0
50410.998706232574,14.003055196175715,2039.3152318174962,635.3601202197303,0,0
52254.21079964113,14.51505855545587,2029.0939732026593,631.695004082184,0,0
54153.26020581122,15.042572279392004,2027.8588309788468,630.0079404802636,0,0
55869.36447117641,15.519267908660114,2022.0035616833304,626.8218447999411,0,0
57693.54981521517,16.025986059781992,2022.7537800717864,626.7968581955358,0,1
59447.77657816859,16.513271271713496,2027.1313266802342,628.4825210343729,0,0
61326.21402701051,17.03505945194736,2021.1250948034076,624.0850632639608,0,0
63460.18012430021,17.627827812305615,2017.7485076230023,620.6864081590068,0,0
64830.82635929893,18.008562877583035,2015.6643798067437,620.9880021075185,0,0
66715.89069365438,18.532191859348437,2014.75777651721,618.3143637258296,0,0
68440.89001122629,19.01135833645175,2018.4622500873816,616.5302642537766,0,0
70220.77638839911,19.505771218999755,2019.8939110059578,622.5139091764153,0,0
72014.85459070586,20.00412627519607,2019.2108541347764,620.3811838947984,0,0
73995.98855720994,20.55444126589165,2017.8703733314308,621.4559129508262,0,0
75789.60383094696,21.052667730818598,2016.136250485069,619.7278083525355,0,0
77441.01945785926,21.511394293849797,2014.4470280182677,622.5186397181025,0,0
79422.72976270685,22.06186937852968,2013.3807927467844,619.7419522605794,0,0
81349.2449385275,22.597012482924303,2014.8799407932922,617.6977437959723,0,0
82956.85551642097,23.043570976783602,2011.5386498054695,616.8497204138253,0,0
84654.28808918313,23.51508002477309,2003.7734682615803,614.4076229873906,0,0
86505.58911571036,24.029330309919544,2002.9669088787355,613.1381900538781,0,0
88377.13921483273,24.549205337453536,2000.2044367146602,612.2198340325014,0,0
90002.94369022209,25.000817691728358,1996.2360439582037,610.6877137071544,0,0
